"","solID","mape","decomp.rssd","nrmse","Influencer_S","Social_Media_S","Radio_S","cluster","top_sol"
"1","1_24_4",151.045746203424,0.00546152790032833,0.252742133305584,0.689931936826726,1,0.444095595164172,"2",FALSE
"2","1_66_13",143.957978747508,0.0168282899946254,0.252691644971574,0.151830949917792,0.959069998764777,0.304838724698771,"4",TRUE
"3","2_103_3",150.510832730693,0.0189291240824084,0.252535197811223,0.555317912363135,0.566474685079507,0.567831107273894,"2",FALSE
"4","2_39_11",147.65207979708,0.011365127882792,0.252953232862451,0.421207451211786,0.831088530935148,0.426883694473169,"2",FALSE
"5","2_45_9",139.458834435475,0.00871844271846746,0.25322284097149,0.169658802393854,0.949831870097046,0.0651993019187515,"4",FALSE
"6","3_100_16",142.637379131114,0.0106035052233063,0.252839255560726,0.421145042805528,0.81963864833339,0.140151589275714,"4",FALSE
"7","3_102_3",145.310740971136,0.0450083939184981,0.252377327123565,1,0.328996071279158,0.146076286949061,"3",TRUE
"8","3_103_12",151.445564370866,0.00760290882849955,0.25285425831219,0.846706080335247,0.82287697032378,0.426827565987515,"2",FALSE
"9","3_108_14",136.255907376057,0.00544111850147969,0.253287934613318,0.0484821989959389,0.787714547091005,0,"4",FALSE
"10","3_113_2",149.852904234476,0.00255137494192197,0.253003326545144,0.645803922201857,0.825478435947377,0.430053846975874,"2",FALSE
"11","3_120_7",150.598464700822,0.024581582666823,0.252265969805668,0.833561630103855,0.313637385291244,0.515772316055369,"3",FALSE
"12","3_21_5",140.332138098143,0.00707661050522704,0.253266412274806,0.229996176574952,0.644833388924047,0.207705897807308,"4",FALSE
"13","3_52_7",150.562958882573,0.0232922265511111,0.252366583202654,0.670339646512519,0.360833682376846,0.573435760458138,"3",FALSE
"14","3_60_12",151.508840171018,0.0188923113659676,0.252442816768092,0.52201684852109,0.754883756784479,0.589228055439186,"2",FALSE
"15","3_80_13",150.985882976592,0.00920757337064723,0.252313649542901,0.685627519508609,0.674753674446588,0.491005600714272,"2",TRUE
"16","3_99_6",143.585360703115,0.0416623026792734,0.252467775647905,0.238682947527311,0,0.508381468412656,"1",TRUE
"17","4_113_12",151.441700499832,0.0739428990499684,0.252114540420652,0,0.248248215500322,1,"1",FALSE
"18","4_123_10",151.995833904257,0.0350081614522056,0.252245372015429,0.93994100892109,0.07244510522454,0.610290313000713,"3",FALSE
"19","5_101_9",143.981352285321,0.00398868867014106,0.25287688450057,0.325172235463529,0.858673971938615,0.264005791626104,"4",FALSE
"20","5_125_12",151.634910185209,0.00749780427520141,0.252463814845887,0.870609817772147,0.866856796185943,0.430665254729259,"2",FALSE
"21","5_63_11",148.355216809694,0.00587201841916178,0.253097640941867,0.531468810875217,0.928522168764588,0.397005147333506,"2",FALSE
"22","5_78_5",147.432155787145,0.0463731903862412,0.252237056847868,0.184118852930273,0.242753738971358,0.698473872647645,"1",FALSE
"23","5_85_13",147.800704325718,0.0277170643904181,0.252502882896682,0.487332719182265,0.285045611909125,0.538986907905442,"3",FALSE
