forecast_timestamp,forecast_value,standard_error,confidence_level,prediction_interval_lower_bound,prediction_interval_upper_bound,confidence_interval_lower_bound,confidence_interval_upper_bound
2022-03-06T00:00:00Z,24305709.27,1143893.147,0.8,22838910.36,25772508.17,22838910.36,25772508.17
2022-03-13T00:00:00Z,26190827.47,1366864.432,0.8,24438115.46,27943539.47,24438115.46,27943539.47
2022-03-20T00:00:00Z,23563610.19,1613851.854,0.8,21494189.51,25633030.87,21494189.51,25633030.87
2022-03-27T00:00:00Z,23607802.18,1659967.872,0.8,21479247.54,25736356.81,21479247.54,25736356.81
2022-04-03T00:00:00Z,23397248.03,1704836.902,0.8,21211158.44,25583337.62,21211158.44,25583337.62
2022-04-10T00:00:00Z,22703118.58,1748554.943,0.8,20460969.93,24945267.23,20460969.93,24945267.23
2022-04-17T00:00:00Z,23000260.83,1791206.274,0.8,20703420.95,25297100.72,20703420.95,25297100.72
2022-04-24T00:00:00Z,23576630.11,1832865.364,0.8,21226371.34,25926888.89,21226371.34,25926888.89
2022-05-01T00:00:00Z,23499628.42,1873598.402,0.8,21097138.21,25902118.63,21097138.21,25902118.63
2022-05-08T00:00:00Z,23735253.05,1913464.527,0.8,21281643.04,26188863.06,21281643.04,26188863.06
2022-05-15T00:00:00Z,23611909.84,1952516.844,0.8,21108223.57,26115596.11,21108223.57,26115596.11
2022-05-22T00:00:00Z,23584447.26,1990803.243,0.8,21031666.85,26137227.67,21031666.85,26137227.67
